,movie,year,imdb,metascore,votes,grossMillions,timeMin
101,The Usual Suspects,1995,8.5,77.0,961163,23.34,106
102,A Star Is Born,2018,7.7,88.0,312633,215.29,136
103,True Romance,1993,7.9,59.0,200603,12.28,119
104,Ferris Bueller's Day Off,1986,7.8,61.0,310109,70.14,103
105,Catch Me If You Can,2002,8.1,75.0,790005,164.62,141
106,A Clockwork Orange,1971,8.3,80.0,734612,6.21,136
107,The Breakfast Club,1985,7.9,66.0,343865,45.88,97
108,300,2006,7.6,52.0,719150,210.61,117
109,Braveheart,1995,8.3,68.0,936305,75.6,178
110,American Beauty,1999,8.3,84.0,1042546,130.1,122
111,Coco,2017,8.4,81.0,344482,209.73,105
112,The Magnificent Seven,1960,7.7,74.0,85251,4.91,128
113,Rogue One: A Star Wars Story,2016,7.8,65.0,534106,532.18,133
114,The Martian,2015,8.0,80.0,734393,228.43,144
115,What We Do in the Shadows,2014,7.7,76.0,147775,3.33,86
116,Blade Runner,1982,8.1,84.0,672626,32.87,117
117,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1439235,342.55,179
118,Zootopia,2016,8.0,78.0,416863,341.27,108
119,Indiana Jones and the Last Crusade,1989,8.2,65.0,671764,197.17,127
120,Requiem for a Dream,2000,8.3,68.0,742774,3.64,102
121,Casino,1995,8.2,73.0,447607,42.44,178
122,The Social Network,2010,7.7,95.0,603779,96.96,120
123,12 Years a Slave,2013,8.1,96.0,619187,56.67,134
124,Aliens,1986,8.3,84.0,634768,85.16,137
125,The Big Lebowski,1998,8.1,71.0,705101,17.5,117
126,Memento,2000,8.4,80.0,1089599,25.54,113
127,Terminator 2: Judgment Day,1991,8.5,75.0,967886,204.84,137
128,E.T. the Extra-Terrestrial,1982,7.8,91.0,359492,435.11,115
129,12 Angry Men,1957,8.9,96.0,661170,4.36,96
130,Apocalypto,2006,7.8,68.0,284078,50.87,139
131,The Terminator,1984,8.0,84.0,778506,38.4,107
132,Good Will Hunting,1997,8.3,70.0,829468,138.43,126
133,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,528062,249.36,142
134,Scarface,1983,8.3,65.0,714273,45.6,170
135,The Blues Brothers,1980,7.9,60.0,177007,57.23,133
136,Marriage Story,2019,8.0,94.0,218969,24.795,137
137,The Lion King,1994,8.5,88.0,909505,422.78,88
138,Deadpool,2016,8.0,65.0,875618,363.07,108
139,Psycho,1960,8.5,97.0,580403,32.0,109
140,Minority Report,2002,7.6,80.0,495184,132.07,145
141,Deadpool 2,2018,7.7,66.0,454787,324.59,119
142,Hidden Figures,2016,7.8,74.0,190927,169.61,127
143,Lawrence of Arabia,1962,8.3,100.0,259071,44.82,228
144,Heat,1995,8.2,76.0,557311,67.44,170
145,The Revenant,2015,8.0,76.0,678321,183.64,156
146,The Notebook,2004,7.8,53.0,503479,81.0,123
147,"The Good, the Bad and the Ugly",1966,8.8,90.0,666396,6.1,178
148,Blue Is the Warmest Colour,2013,7.7,88.0,134037,2.2,180
149,Kill Bill: Vol. 1,2003,8.1,69.0,969769,70.1,111
150,Iron Man,2008,7.9,79.0,915190,318.41,126
151,The Grand Budapest Hotel,2014,8.1,88.0,681371,59.1,99
152,Malcolm X,1992,7.7,72.0,82399,48.17,202
153,American History X,1998,8.5,62.0,1006857,6.72,119
154,Casino Royale,2006,8.0,80.0,566702,167.45,144
155,X-Men: First Class,2011,7.7,65.0,633894,146.41,131
156,Arrival,2016,7.9,81.0,569186,100.55,116
157,Ex Machina,2014,7.7,78.0,457772,25.44,108
158,Her,2013,8.0,90.0,517739,25.57,126
159,Back to the Future Part II,1989,7.8,57.0,461765,118.5,108
160,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,172412,4.0,100
161,A Few Good Men,1992,7.7,62.0,227256,141.34,138
162,American Psycho,2000,7.6,64.0,467520,15.07,101
163,Room,2015,8.1,86.0,352250,14.68,118
164,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,884280,112.0,133
165,Captain America: Civil War,2016,7.8,75.0,638265,408.08,147
166,Tombstone,1993,7.8,50.0,121918,56.51,130
167,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88.0,403809,54.51,115
168,Ghostbusters,1984,7.8,71.0,344421,238.63,105
169,Full Metal Jacket,1987,8.3,76.0,652365,46.36,116
170,Drive,2011,7.8,78.0,554186,35.06,100
171,Die Hard,1988,8.2,72.0,762868,83.01,132
