,movie,year,imdb,metascore,votes,grossMillions,timeMin
451,All the President's Men,1976,8.0,84.0,98883,70.6,138
452,Isle of Dogs,2018,7.9,82.0,130387,32.02,101
453,The Royal Tenenbaums,2001,7.6,76.0,259198,52.36,110
454,Gandhi,1982,8.0,79.0,214198,52.77,191
455,Mississippi Burning,1988,7.8,65.0,84534,34.6,128
456,The Bourne Ultimatum,2007,8.0,85.0,595237,227.47,115
457,Toy Story 2,1999,7.9,88.0,510905,245.85,92
458,Akira,1988,8.0,79.0,157367,0.55,124
459,Nausicaä of the Valley of the Wind,1984,8.1,86.0,142555,0.5,117
460,Gattaca,1997,7.8,64.0,273960,12.34,106
461,"Blood In, Blood Out",1993,8.0,47.0,28057,4.5,180
462,Match Point,2005,7.6,72.0,201631,23.09,124
463,The Remains of the Day,1993,7.8,84.0,63320,22.95,134
464,The Boy in the Striped Pajamas,2008,7.8,55.0,184350,9.03,94
465,Searching,2018,7.6,71.0,127218,26.02,102
466,Sing Street,2016,7.9,79.0,81852,3.24,106
467,The Bourne Supremacy,2004,7.7,73.0,424625,176.24,108
468,Captain Phillips,2013,7.8,82.0,408871,107.1,134
469,Donnie Brasco,1997,7.7,76.0,268842,41.91,127
470,Kiki's Delivery Service,1989,7.8,83.0,115461,24.795,103
471,Planet of the Apes,1968,8.0,79.0,161950,33.4,112
472,Cool Hand Luke,1967,8.1,92.0,157135,16.22,127
473,The Sting,1973,8.3,83.0,234424,159.6,129
474,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,198175,102.31,110
475,Ray,2004,7.7,73.0,135229,75.33,152
476,Singin' in the Rain,1952,8.3,99.0,211119,8.82,103
477,The Maltese Falcon,1941,8.0,96.0,145945,2.11,100
478,Dark City,1998,7.6,66.0,184091,14.38,100
479,Funny Games,1997,7.6,69.0,61993,24.795,108
480,The Birds,1963,7.7,90.0,165619,11.4,119
481,Escape from Alcatraz,1979,7.6,76.0,114706,43.0,112
482,A Silent Voice: The Movie,2016,8.2,78.0,38524,24.795,130
483,When Harry Met Sally...,1989,7.6,76.0,188873,92.82,95
484,7 Kogustaki Mucize,2019,8.3,79.0,26925,24.795,132
485,The Raid: Redemption,2011,7.6,73.0,185903,4.11,101
486,The Last Picture Show,1971,8.0,93.0,40775,29.13,118
487,Serpico,1973,7.7,87.0,105244,29.8,130
488,Fried Green Tomatoes,1991,7.7,64.0,64873,82.42,130
489,Eastern Promises,2007,7.6,82.0,222630,17.11,100
490,Glengarry Glen Ross,1992,7.7,82.0,93136,10.73,100
491,Goldfinger,1964,7.7,87.0,167651,51.08,110
492,Rebel Without a Cause,1955,7.7,89.0,80885,24.795,111
493,Traffic,2000,7.6,86.0,192192,124.12,147
494,Wild Tales,2014,8.1,77.0,167910,3.11,122
495,Shoplifters,2018,8.0,93.0,54413,3.31,121
496,Andhadhun,2018,8.3,79.0,62890,1.37,139
497,For a Few Dollars More,1965,8.3,74.0,223332,15.0,132
498,Pride,2014,7.8,79.0,49977,24.795,119
499,The Boondock Saints,1999,7.8,44.0,223764,0.03,108
500,In the Mood for Love,2000,8.1,85.0,117457,2.73,98
501,127 Hours,2010,7.6,82.0,340176,18.34,94
502,A Bronx Tale,1993,7.8,80.0,123940,17.27,121
503,Gone Baby Gone,2007,7.6,72.0,244020,20.3,114
504,The Illusionist,2006,7.6,68.0,349015,39.87,110
505,The Holy Mountain,1973,7.9,79.0,34920,0.06,114
506,Carlito's Way,1993,7.9,65.0,194922,36.95,144
507,Adaptation.,2002,7.7,83.0,172700,22.25,115
508,Metropolis,1927,8.3,98.0,154673,1.24,153
509,Klaus,2019,8.2,65.0,71501,24.795,96
510,A Streetcar Named Desire,1951,8.0,97.0,96442,8.0,122
511,Enter the Dragon,1973,7.7,83.0,93575,25.0,102
512,The Bridge on the River Kwai,1957,8.1,87.0,197114,44.91,161
513,Battle Royale,2000,7.6,81.0,165406,24.795,114
514,The Nightmare Before Christmas,1993,8.0,82.0,283540,75.08,76
515,The Girl with the Dragon Tattoo,2009,7.8,76.0,205183,10.1,152
516,Castle in the Sky,1986,8.0,78.0,143372,24.795,125
517,Monty Python's Life of Brian,1979,8.1,77.0,356382,20.05,94
518,Before Sunset,2004,8.0,90.0,225943,5.82,80
519,A Fistful of Dollars,1964,8.0,65.0,190160,14.5,99
520,Ip Man,2008,8.0,59.0,206444,24.795,106
521,Billy Elliot,2000,7.7,74.0,122867,22.0,110
522,The Seventh Seal,1957,8.2,79.0,157226,24.795,96
523,Lethal Weapon,1987,7.6,68.0,230784,65.21,109
524,In the Name of the Father,1993,8.1,84.0,151217,25.01,133
525,JFK,1991,8.0,72.0,137336,70.41,189
526,"Paris, Texas",1984,8.1,78.0,84740,2.18,145
527,Annie Hall,1977,8.0,92.0,246828,39.2,93
528,Midnight Cowboy,1969,7.8,79.0,97723,44.79,113
529,The Conversation,1974,7.8,85.0,94530,4.42,113
530,Before Midnight,2013,7.9,94.0,134657,8.11,109
531,My Fair Lady,1964,7.8,95.0,84158,72.0,170
532,Ben-Hur,1959,8.1,90.0,213323,74.7,212
533,The Lego Movie,2014,7.7,83.0,317722,257.76,100
534,Harakiri,1962,8.7,85.0,35428,24.795,133
535,Seven Pounds,2008,7.6,36.0,280894,69.95,123
536,In the Heat of the Night,1967,7.9,75.0,65113,24.38,110
537,Double Indemnity,1944,8.3,95.0,138101,5.72,107
538,Network,1976,8.1,83.0,140537,24.795,121
539,The French Connection,1971,7.7,94.0,106327,15.63,104
540,Dawn of the Planet of the Apes,2014,7.6,79.0,404761,208.55,130
541,Kramer vs. Kramer,1979,7.8,77.0,127900,106.26,105
542,Charade,1963,7.9,83.0,65384,13.47,113
543,Ran,1985,8.2,96.0,107373,4.14,162
544,Solaris,1972,8.1,90.0,77104,24.795,167
545,The Artist,2011,7.9,89.0,226039,44.67,100
546,PK,2014,8.1,79.0,154566,10.62,153
547,Hachi: A Dog's Tale,2009,8.1,79.0,243200,24.795,93
548,Amores Perros,2000,8.1,83.0,217744,5.38,154
549,A Separation,2011,8.3,95.0,212183,7.1,123
550,Rise of the Planet of the Apes,2011,7.6,68.0,488567,176.76,105
551,The Fall,2006,7.9,64.0,105303,2.28,117
552,The Wrestler,2008,7.9,80.0,285141,26.24,109
553,Star Trek II: The Wrath of Khan,1982,7.7,67.0,109995,78.91,113
554,Dangerous Liaisons,1988,7.6,74.0,62751,34.7,119
555,The Ten Commandments,1956,7.8,79.0,61925,93.74,220
556,La Haine,1995,8.1,79.0,142552,0.31,98
557,Paths of Glory,1957,8.4,79.0,170551,24.795,88
558,Blood Simple,1984,7.6,81.0,84579,2.15,99
559,The Bridges of Madison County,1995,7.6,66.0,70424,71.52,135
560,Doctor Zhivago,1965,8.0,69.0,67763,111.72,197
561,The Man from Earth,2007,7.9,79.0,169308,24.795,87
562,Enemy at the Gates,2001,7.6,53.0,236513,51.4,131
563,On the Waterfront,1954,8.1,91.0,137153,9.6,108
564,25th Hour,2002,7.6,68.0,167096,13.06,135
565,Let the Right One In,2008,7.9,82.0,201673,2.12,114
566,Robin Hood,1973,7.6,57.0,111784,32.06,83
567,The Body,2012,7.6,79.0,53330,24.795,108
568,Dirty Harry,1971,7.7,90.0,139461,35.9,102
569,Bonnie and Clyde,1967,7.8,86.0,99484,24.795,111
570,Taare Zameen Par,2007,8.4,79.0,159055,1.22,165
571,Ghost in the Shell,1995,8.0,76.0,124268,0.52,83
572,The Name of the Rose,1986,7.7,54.0,98763,7.15,130
573,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,248366,128.08,120
574,Snow White and the Seven Dwarfs,1937,7.6,95.0,175804,184.93,83
575,Perfect Blue,1997,8.0,79.0,52464,0.78,81
576,How to Train Your Dragon 2,2014,7.8,76.0,296372,177.0,102
577,Rebecca,1940,8.1,86.0,118130,4.36,130
578,The Insider,1999,7.8,84.0,156104,28.97,157
579,The Searchers,1956,7.9,94.0,77686,24.795,119
580,The Raid 2,2014,8.0,71.0,111180,2.63,150
581,Philomena,2013,7.6,77.0,92284,37.71,98
582,Days of Heaven,1978,7.8,93.0,50308,24.795,94
583,The Best Offer,2013,7.8,49.0,104210,0.09,131
584,The Wind Rises,2013,7.8,83.0,68766,5.21,126
585,Roman Holiday,1953,8.0,78.0,123681,24.795,118
586,I Am Sam,2001,7.7,28.0,140513,40.31,132
587,The Outlaw Josey Wales,1976,7.8,69.0,63572,31.8,135
588,The Iron Giant,1999,8.0,85.0,166948,23.16,86
589,Mother,2009,7.8,79.0,47672,0.55,129
590,Awakenings,1990,7.8,74.0,119501,52.1,121
591,Ordinary People,1980,7.7,86.0,45214,54.8,124
592,Flipped,2010,7.7,45.0,79049,1.75,90
593,Papillon,1973,8.0,58.0,118486,53.27,151
594,Witness for the Prosecution,1957,8.4,79.0,102861,8.18,116
595,Midnight Express,1978,7.6,59.0,71010,35.0,121
596,50/50,2011,7.6,72.0,310556,35.01,100
597,Cabaret,1972,7.8,80.0,46770,42.77,124
598,The Secret World of Arrietty,2010,7.6,80.0,76237,19.2,94
599,Short Term 12,2013,8.0,82.0,78697,1.01,96
600,Naked,1993,7.8,84.0,32877,1.77,132
601,Persona,1966,8.1,86.0,97288,24.795,83
602,Rushmore,1998,7.7,86.0,164661,17.11,93
603,Cinderella Man,2005,8.0,69.0,172648,61.65,144
604,October Sky,1999,7.8,71.0,79379,32.48,108
605,Rope,1948,8.0,73.0,124459,24.795,80
606,Evil Dead II,1987,7.8,69.0,143676,5.92,84
607,Ed Wood,1994,7.8,70.0,162296,5.89,127
608,"Synecdoche, New York",2008,7.6,67.0,78566,3.08,124
609,Night of the Living Dead,1968,7.9,89.0,112213,0.09,96
610,The Man Who Shot Liberty Valance,1962,8.1,94.0,66645,24.795,123
611,The King of Comedy,1982,7.8,73.0,82704,2.5,109
612,Sabrina,1954,7.7,72.0,57145,24.795,113
613,East of Eden,1955,7.9,72.0,39018,24.795,118
614,The Wild Bunch,1969,7.9,97.0,75565,12.06,135
615,Whisper of the Heart,1995,7.9,75.0,47482,24.795,111
616,Leviathan,2014,7.6,92.0,47438,1.09,140
617,The Magdalene Sisters,2002,7.7,83.0,25479,4.89,114
618,Dawn of the Dead,1978,7.9,71.0,108500,5.1,127
619,Mysterious Skin,2004,7.6,73.0,64592,0.7,105
620,Mary and Max,2009,8.1,79.0,159844,24.795,92
621,Cold War,2018,7.6,90.0,44738,4.57,89
622,Beasts of No Nation,2015,7.7,79.0,70727,0.08,137
623,All That Jazz,1979,7.9,72.0,26822,37.82,123
624,Arsenic and Old Lace,1944,8.0,79.0,63785,24.795,118
625,Me and Earl and the Dying Girl,2015,7.7,74.0,119639,6.74,105
626,La Dolce Vita,1960,8.0,95.0,63840,19.52,174
627,Hotel Rwanda,2004,8.1,79.0,327305,23.53,121
628,Hedwig and the Angry Inch,2001,7.7,85.0,31248,3.03,95
629,The Great Dictator,1940,8.4,79.0,195295,0.29,125
630,The Last Emperor,1987,7.7,76.0,90976,43.98,163
631,Barton Fink,1991,7.7,69.0,109971,6.15,116
632,Contempt,1963,7.6,79.0,27499,0.04,102
633,Mommy,2014,8.1,74.0,47986,3.49,139
634,The Message,1976,8.2,79.0,42539,24.795,177
635,Miller's Crossing,1990,7.7,66.0,123077,5.08,115
636,Gully Boy,2019,8.1,65.0,28120,5.57,153
637,Anatomy of a Murder,1959,8.0,95.0,57809,11.9,161
638,Kelly's Heroes,1970,7.6,50.0,43982,1.38,144
639,The Longest Day,1962,7.8,75.0,51152,39.1,178
640,Clerks,1994,7.7,70.0,208400,3.15,92
641,Harold and Maude,1971,7.9,62.0,68850,24.795,91
642,Paddington 2,2017,7.8,88.0,57009,40.44,103
643,Porco Rosso,1992,7.7,83.0,72606,24.795,94
644,Baahubali: The Beginning,2015,8.1,79.0,99110,6.74,159
645,Black Book,2006,7.7,71.0,71160,4.4,145
646,21 Grams,2003,7.7,70.0,220313,16.29,124
647,My Left Foot,1989,7.9,97.0,65556,14.74,103
648,After Hours,1985,7.7,90.0,55797,10.6,97
649,Sling Blade,1996,8.0,84.0,85298,24.48,135
650,Modern Times,1936,8.5,96.0,208809,0.16,87
651,8½,1963,8.0,79.0,105453,0.05,138
652,What Ever Happened to Baby Jane?,1962,8.1,75.0,48338,4.05,134
653,From Here to Eternity,1953,7.6,85.0,41973,30.5,118
654,The Last King of Scotland,2006,7.7,74.0,171940,17.61,123
655,The Night of the Hunter,1955,8.0,99.0,79502,0.65,92
656,Dancer in the Dark,2000,8.0,61.0,99325,4.18,140
657,Cape Fear,1962,7.7,76.0,25430,24.795,106
658,Giant,1956,7.6,84.0,32976,0.18,201
659,Badlands,1973,7.8,93.0,63230,24.795,94
660,The Right Stuff,1983,7.8,91.0,54608,21.5,193
661,Three Colors: Blue,1993,7.9,85.0,85323,1.32,94
662,Nosferatu,1922,7.9,79.0,85950,24.795,94
663,Freaks,1932,7.9,80.0,40807,24.795,64
664,Stagecoach,1939,7.9,93.0,41661,24.795,96
665,This Is England,2006,7.7,86.0,113702,0.33,101
666,Chungking Express,1994,8.1,77.0,59053,0.6,102
667,Paper Moon,1973,8.1,77.0,40833,30.93,102
668,A Little Princess,1995,7.7,83.0,31198,10.02,97
669,All About Eve,1950,8.2,98.0,116597,0.01,138
670,Rashomon,1950,8.2,98.0,146418,0.1,88
671,The Man from Nowhere,2010,7.8,79.0,60165,0.01,119
672,The Great Beauty,2013,7.8,86.0,78006,2.85,141
673,Fanny and Alexander,1982,8.1,100.0,55640,4.97,188
674,Wings of Desire,1987,8.0,79.0,62270,3.33,128
675,The Third Man,1949,8.1,97.0,154032,0.45,93
676,Lucky Number Slevin,2006,7.7,53.0,295790,22.49,110
677,The Treasure of the Sierra Madre,1948,8.2,98.0,110389,5.01,126
678,Finding Neverland,2004,7.7,67.0,195580,51.68,106
679,Detachment,2011,7.7,52.0,74107,0.07,98
680,Dial M for Murder,1954,8.2,75.0,151557,0.01,105
681,Hero,2002,7.9,85.0,171282,53.71,120
682,Manhattan,1979,7.9,83.0,128231,45.7,96
683,Loving Vincent,2017,7.8,62.0,47373,6.74,94
684,High Noon,1952,7.9,89.0,94957,9.45,85
685,The Adventures of Robin Hood,1938,7.9,97.0,45925,3.98,102
686,Zindagi Na Milegi Dobara,2011,8.1,79.0,64556,3.11,155
687,Winter Sleep,2014,8.1,88.0,43336,0.17,196
688,Letters from Iwo Jima,2006,7.9,89.0,151363,13.76,141
689,Where Eagles Dare,1968,7.7,63.0,50264,24.795,158
690,"Planes, Trains & Automobiles",1987,7.6,72.0,118227,49.53,93
691,Happiness,1998,7.7,81.0,65024,2.81,134
692,Baahubali 2: The Conclusion,2017,8.2,79.0,71505,20.19,167
693,Being There,1979,8.0,83.0,63695,30.18,130
694,King Kong,1933,7.9,90.0,77015,10.0,100
695,Pink Floyd: The Wall,1982,8.1,47.0,74128,22.24,95
696,Rio Bravo,1959,8.0,93.0,54213,12.54,141
697,Andrei Rublev,1966,8.1,79.0,44047,0.1,205
698,The Muppet Movie,1979,7.6,74.0,31551,76.66,95
699,Bicycle Thieves,1948,8.3,79.0,139657,0.33,89
700,Withnail & I,1987,7.7,84.0,39032,1.54,107
701,Paprika,2006,7.7,81.0,67387,0.88,90
702,The Kid,1921,8.3,79.0,107540,5.45,68
703,It Happened One Night,1934,8.1,87.0,90436,4.36,105
704,The Mirror,1975,8.1,79.0,37440,0.18,107
705,The Tale of The Princess Kaguya,2013,8.0,89.0,35337,1.51,137
706,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,79.0,35278,24.795,87
707,The Tenant,1976,7.7,79.0,37904,1.92,126
708,The Straight Story,1999,8.0,86.0,79264,6.2,112
709,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,189042,52.01,81
710,Belle de Jour,1967,7.7,79.0,38714,0.03,100
711,Breathless,1960,7.9,79.0,70319,0.34,90
712,Kubo and the Two Strings,2016,7.8,84.0,113988,48.02,101
713,Wild Strawberries,1957,8.2,88.0,91603,24.795,91
714,The Chaser,2008,7.9,64.0,55446,24.795,125
715,Mr. Smith Goes to Washington,1939,8.1,73.0,103663,9.6,129
716,The Killing,1956,8.0,79.0,78879,24.795,84
717,Amour,2012,7.9,94.0,90446,6.74,127
718,When Marnie Was There,2014,7.7,72.0,29562,0.77,103
719,The Philadelphia Story,1940,7.9,96.0,61568,24.795,112
720,Ninja Scroll,1993,7.9,79.0,33536,24.795,94
721,Drishyam,2015,8.2,79.0,64121,0.74,163
722,Zulu,1964,7.7,77.0,34875,24.795,138
723,The Manchurian Candidate,1962,7.9,94.0,69834,24.795,126
724,K.G.F: Chapter 1,2018,8.2,79.0,30463,24.795,156
725,Three Colors: Red,1994,8.1,100.0,86647,4.04,99
726,The Killing Fields,1984,7.8,76.0,50001,34.7,141
727,Touch of Evil,1958,8.0,99.0,96296,2.24,95
728,Patton,1970,7.9,91.0,91870,61.7,172
729,Nebraska,2013,7.7,87.0,109956,17.65,115
730,Dead Man,1995,7.6,62.0,88090,1.04,121
731,The Taking of Pelham One Two Three,1974,7.7,68.0,25442,24.795,104
732,Uri: The Surgical Strike,2019,8.3,79.0,40138,4.19,138
733,Ikiru,1952,8.3,79.0,64351,0.06,143
734,The Hurricane,1999,7.6,74.0,89633,50.67,146
735,The 400 Blows,1959,8.1,79.0,100626,24.795,99
736,Fantasia,1940,7.8,96.0,86160,76.41,125
737,Victoria,2015,7.6,77.0,49940,24.795,138
738,Lady Vengeance,2005,7.6,75.0,69572,0.21,115
739,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,75015,2.38,103
740,Run Lola Run,1998,7.6,77.0,185069,7.27,80
741,The Lunchbox,2013,7.8,76.0,48080,4.23,104
742,On Golden Pond,1981,7.6,68.0,26779,119.29,109
743,Yojimbo,1961,8.2,79.0,106015,24.795,110
744,Strangers on a Train,1951,8.0,88.0,120037,7.63,101
745,Tokyo Story,1953,8.2,79.0,49464,24.795,136
746,Land of Mine,2015,7.8,75.0,33096,0.44,100
747,Breaking the Waves,1996,7.8,76.0,60665,4.04,159
748,Hamlet,1996,7.7,79.0,35366,4.41,242
749,High and Low,1963,8.4,79.0,29979,24.795,143
750,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,67184,24.795,131
751,"Duck, You Sucker",1971,7.6,77.0,28799,0.7,138
752,Children of Heaven,1997,8.3,79.0,61256,0.93,89
753,Notorious,1946,7.9,100.0,89636,10.46,102
754,Once,2007,7.8,88.0,108579,9.44,86
755,Volver,2006,7.6,84.0,92531,12.9,121
756,Lagaan: Once Upon a Time in India,2001,8.1,84.0,101296,0.07,224
757,Waking Life,2001,7.8,82.0,59539,2.89,99
758,The Secret of NIMH,1982,7.6,76.0,35156,10.14,82
759,Queen,2013,8.2,79.0,58518,1.43,146
760,Perfect Strangers,2016,7.8,79.0,53569,24.795,96
761,The Quiet Man,1952,7.7,79.0,33588,10.55,129
762,Once Upon a Time in Anatolia,2011,7.9,82.0,39349,0.14,157
763,City Lights,1931,8.5,99.0,160652,0.02,87
764,The Big Sleep,1946,7.9,79.0,77045,6.54,114
765,Short Cuts,1993,7.7,79.0,41323,6.11,188
766,The Grapes of Wrath,1940,8.0,96.0,84189,0.06,129
767,The Little Prince,2015,7.7,70.0,54451,1.34,108
768,All About My Mother,1999,7.8,87.0,86300,8.26,101
769,Frankenstein,1931,7.8,91.0,62771,24.795,70
770,The Lion in Winter,1968,7.9,79.0,28252,22.28,134
771,Watership Down,1978,7.6,64.0,32792,24.795,91
772,Stalag 17,1953,8.0,84.0,50039,24.795,120
773,The Thin Man,1934,8.0,79.0,25542,24.795,91
774,A Christmas Story,1983,7.9,77.0,127367,20.61,94
775,Hannah and Her Sisters,1986,7.9,90.0,65179,40.08,107
776,The Hustler,1961,8.0,90.0,73559,24.795,134
777,The Day of the Jackal,1973,7.8,80.0,36216,16.06,143
778,Kal ho naa ho,2003,8.0,54.0,61331,1.79,186
779,La Vie En Rose,2007,7.6,66.0,80931,10.3,140
780,The Conformist,1970,8.0,100.0,25694,0.54,113
781,Sympathy for Mr. Vengeance,2002,7.6,56.0,60420,0.05,129
782,The Verdict,1982,7.7,77.0,34529,54.0,129
783,5 Centimeters Per Second,2007,7.6,79.0,48541,24.795,63
784,Udaan,2010,8.2,79.0,41114,0.01,134
785,Red River,1948,7.8,79.0,27129,24.795,133
786,Thank You for Smoking,2005,7.6,71.0,210602,24.79,92
787,The Invisible Man,1933,7.7,87.0,28954,24.795,71
788,Judgment at Nuremberg,1961,8.2,60.0,66576,24.795,179
789,Rififi,1955,8.2,97.0,25256,0.06,118
790,Anand,1971,8.6,79.0,26894,24.795,122
791,Cat on a Hot Tin Roof,1958,8.0,84.0,43443,17.57,108
792,The African Queen,1951,7.7,91.0,69693,0.54,105
793,Talk to Her,2002,7.9,86.0,102126,9.28,112
794,Eyes Without a Face,1960,7.7,90.0,25754,0.05,90
795,Elite Squad,2007,8.1,33.0,95969,0.01,115
796,Open Your Eyes,1997,7.8,79.0,62433,0.37,117
797,A Man Called Ove,2015,7.7,70.0,44289,3.36,116
798,Underground,1995,8.1,79.0,53815,0.17,167
799,Infernal Affairs,2002,8.0,75.0,115772,0.17,101
800,Repulsion,1965,7.7,91.0,47201,24.795,105
801,"I, Daniel Blake",2016,7.9,78.0,50727,0.26,100
802,The Motorcycle Diaries,2004,7.8,75.0,94855,16.76,126
803,The Red Shoes,1948,8.1,79.0,29475,10.9,135
804,Three Colors: White,1994,7.6,88.0,61033,1.46,92
805,Swades,2004,8.2,79.0,79965,1.22,189
806,A Man for All Seasons,1966,7.7,72.0,30204,28.35,120
807,Good Bye Lenin!,2003,7.7,68.0,134923,4.06,121
808,Throne of Blood,1957,8.1,79.0,43947,24.795,110
809,Secrets & Lies,1996,8.0,91.0,35893,13.42,136
810,"Aguirre, the Wrath of God",1972,7.9,79.0,50284,24.795,95
811,Key Largo,1948,7.8,79.0,36020,24.795,100
812,All Quiet on the Western Front,1930,8.0,91.0,55954,3.27,152
813,3-Iron,2004,8.0,72.0,48197,0.24,88
814,The Day the Earth Stood Still,1951,7.7,79.0,75021,24.795,92
815,A Hard Day's Night,1964,7.6,96.0,39024,13.78,87
816,Kagemusha,1980,8.0,84.0,30859,24.795,162
817,Amarcord,1973,7.9,79.0,38423,24.795,123
818,Bringing Up Baby,1938,7.9,91.0,53442,24.795,102
819,The Best Years of Our Lives,1946,8.0,93.0,55914,23.65,170
820,My Name Is Khan,2010,8.0,50.0,95821,4.02,165
821,Song of the Sea,2014,8.1,85.0,48612,0.86,93
822,The Cabinet of Dr. Caligari,1920,8.1,79.0,54941,24.795,67
823,The Diving Bell and the Butterfly,2007,8.0,92.0,101532,5.99,112
824,His Girl Friday,1940,7.9,79.0,51719,0.3,92
825,The Man Who Would Be King,1975,7.8,91.0,42826,24.795,129
826,Interstate 60: Episodes of the Road,2002,7.7,79.0,29128,24.795,116
827,Loveless,2017,7.6,86.0,27861,0.57,127
828,A Very Long Engagement,2004,7.6,76.0,69962,6.17,133
829,Delicatessen,1991,7.6,66.0,78694,1.79,99
830,Fitzcarraldo,1982,8.1,79.0,30036,24.795,158
831,The Wave,2008,7.6,79.0,99993,24.795,107
832,The Double Life of Véronique,1991,7.8,86.0,39906,2.0,98
833,Sunrise,1927,8.1,79.0,45709,0.54,94
834,The White Ribbon,2009,7.8,82.0,66854,2.22,144
835,Ayla: The Daughter of War,2017,8.5,79.0,31732,24.795,125
836,The Vanishing,1988,7.7,79.0,32605,24.795,107
837,The Bandit,1996,8.3,79.0,61135,24.795,128
838,Rang De Basanti,2006,8.2,79.0,107610,2.2,167
839,The Legend of 1900,1998,8.1,58.0,56829,0.26,169
840,Peeping Tom,1960,7.7,79.0,29704,0.08,101
841,A Prophet,2009,7.9,90.0,91538,2.08,155
842,The Hidden Fortress,1958,8.1,79.0,32638,24.795,126
843,Bajrangi Bhaijaan,2015,8.0,79.0,69018,8.18,163
844,Lilya 4-Ever,2002,7.8,82.0,41539,0.18,109
845,Dev.D,2009,8.0,79.0,27861,0.01,144
846,The Salesman,2016,7.8,85.0,47838,2.4,124
847,Shadow of a Doubt,1943,7.8,94.0,57437,24.795,108
848,Munna Bhai M.B.B.S.,2003,8.1,79.0,70881,24.795,156
849,The Station Agent,2003,7.6,81.0,66322,5.74,89
850,Talvar,2015,8.2,79.0,29217,0.34,132
851,Pink,2016,8.1,79.0,36817,1.24,136
852,After the Wedding,2006,7.7,78.0,31029,0.41,120
853,Invasion of the Body Snatchers,1956,7.7,92.0,43491,24.795,80
854,Crimes and Misdemeanors,1989,7.9,77.0,53164,18.25,104
855,Control,2007,7.7,78.0,60344,0.87,122
856,Batman: Mask of the Phantasm,1993,7.8,79.0,41346,5.62,76
857,The Gold Rush,1925,8.2,79.0,96209,5.45,95
858,Bhaag Milkha Bhaag,2013,8.2,79.0,58752,1.63,186
859,Kind Hearts and Coronets,1949,8.0,79.0,33542,24.795,106
860,Head-On,2004,7.9,78.0,49715,24.795,121
861,Cries & Whispers,1972,8.1,79.0,28719,1.74,91
862,Dead Man's Shoes,2004,7.6,52.0,48273,0.01,90
863,Night on Earth,1991,7.8,68.0,53552,2.02,129
864,The World's Fastest Indian,2005,7.8,68.0,50923,5.13,127
865,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,36900,0.2,102
866,Le Samouraï,1967,8.1,79.0,43247,0.04,101
867,Once Were Warriors,1994,7.9,77.0,30709,2.2,102
868,Sleuth,1972,8.0,79.0,43812,4.08,138
869,Sweet Smell of Success,1957,8.1,100.0,26910,24.795,96
870,Wolf Children,2012,8.1,71.0,36519,24.795,117
871,My Father and My Son,2005,8.3,79.0,75290,24.795,112
872,Ivan's Childhood,1962,8.1,79.0,29745,24.795,84
873,The Return,2003,8.0,82.0,41003,0.5,110
874,Gilda,1946,7.7,79.0,26846,24.795,110
875,The 39 Steps,1935,7.6,93.0,49903,24.795,86
876,The Bride of Frankenstein,1935,7.8,95.0,41834,4.36,75
877,Out of the Past,1947,8.0,79.0,31404,24.795,97
878,The Battle of Algiers,1966,8.1,96.0,50315,0.06,121
879,Badhaai Ho,2018,8.0,79.0,25515,24.795,124
880,The Exterminating Angel,1962,8.1,79.0,28382,24.795,95
881,Shine,1996,7.7,87.0,50270,35.81,105
882,The Celebration,1998,8.0,82.0,76026,1.65,105
883,The Broken Circle Breakdown,2012,7.8,70.0,38389,0.18,111
884,The Girl Who Leapt Through Time,2006,7.8,79.0,57861,24.795,98
885,Hera Pheri,2000,8.2,79.0,53788,24.795,156
886,Kahaani,2012,8.1,79.0,55675,1.04,122
887,Paan Singh Tomar,2012,8.2,79.0,31859,0.04,135
888,Haider,2014,8.1,79.0,48807,0.9,160
889,Baby,2015,8.0,79.0,51233,24.795,159
890,Sholay,1975,8.2,79.0,49723,24.795,162
891,The Lady Vanishes,1938,7.8,79.0,45676,24.795,96
892,The Wages of Fear,1953,8.1,85.0,52296,24.795,131
893,"Black Cat, White Cat",1998,8.1,73.0,49541,0.35,127
894,The Circus,1928,8.2,90.0,25787,24.795,72
895,The Odd Couple,1968,7.7,86.0,30609,44.53,105
896,About Elly,2009,8.0,87.0,42907,0.11,119
897,Wait Until Dark,1967,7.8,81.0,26900,17.55,108
898,Death Note,2006,7.7,79.0,28032,24.795,126
899,The Sea Inside,2004,8.0,74.0,75851,2.09,126
900,A Wednesday,2008,8.1,79.0,71924,24.795,104
901,Laura,1944,8.0,79.0,41240,4.36,88
902,The Chorus,2004,7.9,56.0,55789,3.64,97
903,To Be or Not to Be,1942,8.2,86.0,26482,24.795,99
904,Cowboy Bebop: The Movie,2001,7.9,61.0,41612,1.0,115
905,L'Avventura,1960,7.9,79.0,25299,24.795,144
906,Au Revoir les Enfants,1987,8.0,79.0,30180,4.54,104
907,Dilwale Dulhania Le Jayenge,1995,8.1,79.0,61271,24.795,181
